1.1.1	vqxXirAxEc
1.4.76	maXyepaxenivacane ca
1.4.77	niwyaM haswe pANAvupayamane
1.4.78	prAXvaM banXane
1.4.79	jIvikopaniRaxAvOpamye
1.4.80	we prAgXAwoH
1.4.81	Canxasi pareZpi
1.4.82	vyavahiwASca
1.4.83	karmapravacanIyAH
1.4.84	anurlakRaNe
1.4.85	wqwIyAZrWe
1.4.86	hIne
1.4.87	upoZXike ca
1.4.88	apaparI varjane
1.4.89	Af maryAxAvacane
1.4.90	lakRaNewWamBUwAKyAnaBAgavIpsAsu prawiparyanavaH
1.4.91	aBiraBAge
1.4.92	prawiH prawiniXiprawixAnayoH
1.4.93	aXiparI anarWakO
1.4.94	suH pUjAyAm
1.4.95	awirawikramaNe ca
1.4.96	apiH paxArWasamBAvanAnvavasargagarhAsamuccayeRu
1.4.97	aXirISvare
1.4.98	viBARA kqFi
1.4.99	laH parasmEpaxam
1.4.100	wafAnAvAwmanepaxam
1.4.101	wifaswrINi wrINi praWamamaXyamowwamAH
1.4.102	wAnyekavacanaxvivacanabahuvacanAnyekaSaH
1.4.103	supaH
1.4.104	viBakwiSca
1.4.105	yuRmaxyupapaxe samAnAXikaraNe sWAninyapi maXyamaH
1.4.106	prahAse ca manyopapaxe manyaweruwwama ekavacca
1.4.107	asmaxyuwwamaH
1.4.108	SeRe praWamaH
1.4.109	paraH saMnikarRaH saMhiwA
1.4.110	virAmoZvasAnam
2.1.1	samarWaH paxaviXiH
2.1.2	subAmanwriwe parAfgavaw‌ svare
2.1.3	prAk kadArAw‌ samAsaH
2.1.4	saha supA
2.1.5	avyayIBAvaH
2.1.6	avyayaM viBakwisamIpasamqxXivyqxXyarWABAvAwyayAsamprawiSabxaprAxurBAvapaScAxyaWAZZnupUrvyayOgapaxyasAxqSyasampawwisAkalyAnwavacaneRu
2.1.7	yaWAZsAxqye
2.1.8	yAvaxavaXAraNe
2.1.9	supprawinA mAwrAZrWe
2.1.10	akRaSalAkAsaMKyAH pariNA
2.1.11	viBARA
2.1.12	apaparibahiraFcavaH paFcamyA
2.1.13	Af maryAxAZBiviXyoH
2.1.14	lakRaNenABiprawI ABimuKye
2.1.15	anuryawsamayA
2.1.16	yasya cAyAmaH
2.1.17	wiRTaxgupraBqwIni ca
2.1.18	pAre maXye RaRTyA vA
2.1.19	saMKyA vaMSyena
2.1.20	naxIBiSca
2.1.21	anyapaxArWe ca saMjFAyAm‌
2.1.22	wawpuruRaH
2.1.23	xviguSca
2.1.24	xviwIyA SriwAwIwapawiwagawAwyaswaprApwApannEH
2.1.25	svayaM kwena
2.1.26	KatvA kRepe
2.1.27	sAmi
2.1.28	kAlAH
2.1.29	awyanwasaMyoge ca
2.1.30	wqwIyA wawkqwArWena guNavacanena
2.1.31	pUrvasaxqSasamonArWakalahanipuNamiSraSlakRNEH
2.1.32	karwqkaraNe kqwA bahulam‌
2.1.33	kqwyEraXikArWavacane
2.1.34	annena vyaFjanam‌
2.1.35	BakRyeNa miSrIkaraNam‌
2.1.36	cawurWI waxarWArWabalihiwasuKarakRiwEH
2.1.37	paFcamI Bayena
2.1.38	apewApoDamukwapawiwApawraswEralpaSaH
2.1.39	swokAnwikaxUrArWakqcCrANi kwena
2.1.40	sapwamI SONdEH
2.1.41	sixXaSuRkapakvabanXESca
2.1.42	XvAfkReNa kRepe
2.1.43	kqwyErqNe
2.1.44	saMjFAyAm‌
2.1.45	kwenAhorAwrAvayavAH
2.1.46	wawra
2.1.47	kRepe
2.1.48	pAwresamiwAxayaSca
2.1.49	pUrvakAlEkasarvajarawpurANanavakevalAH samAnAXikaraNena
2.1.50	xiksaMKye saMjFAyAm‌
2.1.51	waxXiwArWowwarapaxasamAhAre ca
2.1.52	saMKyApUrvo xviguH
2.1.53	kuwsiwAni kuwsanEH
2.1.54	pApANake kuwsiwEH
2.1.55	upamAnAni sAmAnyavacanEH
2.1.56	upamiwaM vyAGrAxiBiH sAmAnyAprayoge
2.1.57	viSeRaNaM viSeRyeNa bahulam‌
2.1.58	pUrvAparapraWamacaramajaGanyasamAnamaXyamaXyamavIrASca
2.1.59	SreNyAxayaH kqwAxiBiH
2.1.60	kwena naFviSiRtenAnaF
2.1.61	sanmahawparamowwamowkqRtAH pUjyamAnEH
2.1.62	vqnxArakanAgakuFjarEH pUjyamAnam‌
2.1.63	kawarakawamO jAwiparipraSne
2.1.64	kiM kRepe
2.1.65	potAyuvawiswokakawipayagqRtiXenuvaSAvehawbaRkayaNIpravakwQSrowriyAXyApakaXUrwErjAwiH
2.1.66	praSaMsAvacanESca
2.1.67	yuvA KalawipaliwavalinajarawIBiH
2.1.68	kqwyawulyAKyA ajAwyA
2.1.69	varNo varNena
2.1.70	kumAraH SramaNAZZxiBiH
2.1.71	cawuRpAxo garBiNyA
2.1.72	mayUravyaMsakAxayaSca
2.2.1	pUrvAparAXarowwaramekaxeSinEkAXikaraNe
2.2.2	arXaM napuMsakam‌
2.2.3	xviwIyawqwIyacawurWawuryANyanyawarasyAm‌
2.2.4	prApwApanne ca xviwIyayA
2.2.5	kAlAH parimANinA
2.2.6	naF‌
2.2.7	IRaxakqwA
2.2.8	RaRTI
2.2.9	yAjakAxiBiSca
2.2.10	na nirXAraNe
2.2.11	pUraNaguNasuhiwArWasaxavyayawavyasamAnAXikaraNena
2.2.12	kwena ca pUjAyAm‌
2.2.13	aXikaraNavAcinA ca
2.2.14	karmmaNi ca
2.2.15	wqjakAByAM karwari
2.2.16	karwwari ca
2.2.17	niwyaM krIdAjIvikayoH
2.2.18	kugawiprAxayaH
2.2.19	upapaxamawif
2.2.20	amEvAvyayena
2.2.21	wqwIyApraBqwInyanyawarasyAm‌
2.2.22	kwvA ca
2.2.23	SeRo bahuvrIhiH
2.2.24	anekamanyapaxArWe
2.2.25	saMKyayAZvyayAsannAxUrAXikasaMKyAH saMKyeye
2.2.26	xifnAmAnyanwarAle
2.2.27	wawra wenexamiwi sarUpe
2.2.28	wena sahewi wulyayoge
2.2.29	cArWe xvaMxvaH
2.2.30	upasarjanaM pUrvam‌
2.2.31	rAjaxanwAxiRu param‌
2.2.32	xvaMxve Gi
2.2.33	ajAxyaxanwam‌
2.2.34	alpAcwaram‌
2.2.35	sapwamIviSeRaNe bahuvrIhO
2.2.36	niRTA
2.2.37	vAZZhiwAgnyAxiRu
2.2.38	kadArAH karmaXarAye
2.3.1	anaBihiwe
2.3.2	karmaNi xviwIyA
2.3.3	wqwIyA ca hoSCanxasi
2.3.4	anwarAZnwareNa yukwe
2.3.5	kAlAXvanorawyanwasaMyoge
2.3.6	apavarge wqwIyA
2.3.7	sapwamIpaFcamyO kArakamaXye
2.3.8	karmapravacanIyayukwe xviwIyA
2.3.9	yasmAxaXikaM yasya ceSvaravacanaM wawra sapwamI
2.3.10	paFcamI apAfpariBiH
2.3.11	prawiniXiprawixAne ca yasmAw‌
2.3.12	gawyarWakarmaNi xviwIyAcawurWyO ceRtAyAmanaXvani
2.3.13	cawurWI sampraxAne
2.3.14	kriyArWopapaxasya ca karmaNi sWAninaH
2.3.15	wumarWAcca BAvavacanAw‌
2.3.16	namaHsvaswisvAhAsvaXAlaMvaRadyogAcca
2.3.17	manyakarmaNyanAxare viBARAZprANiRu
2.3.18	karwqkaraNayoswqwIyA
2.3.19	sahayukweZpraXAne
2.3.20	yenAfgavikAraH
2.3.21	iwWaMBUwalakRaNe
2.3.22	saMjFoZnyawarasyAM karmaNi
2.3.23	hewO
2.3.24	akarwaryqNe paFcamI
2.3.25	viBARA guNeZswriyAm‌
2.3.26	RaRTI hewuprayoge
2.3.27	sarvanAmnaswqwIyA ca
2.3.28	apAxAne paFcamI
2.3.29	anyArAxiwararwwexik‌SabxAFcUwwarapaxAjAhiyukwe
2.3.30	RaRTyawasarWaprawyayena
2.3.31	enapA xviwIyA
2.3.32	pqWagvinAnAnABiswqwIyAZnyawarasyAm‌
2.3.33	karaNe ca swokAlpakqcCrakawipayasyAsawwvavacanasya
2.3.34	xUrAnwikArWEH RaRTyanyawarasyAm‌
2.3.35	xUrAnwikArWeByo xviwIyA ca
2.3.36	sapwamyaXikaraNe ca
2.3.37	yasya ca BAvena BAvalakRaNam‌
2.3.38	RaRTI cAnAxare
2.3.39	svAmISvarAXipawixAyAxasAkRiprawiBUprasUwESca
2.3.40	AyukwakuSalAByAM cAsevAyAm‌
2.3.41	yawaSca nirXAraNam‌
2.3.42	paFcamI viBakwe
2.3.43	sAXunipuNAByAm arcAyAM sapwamyapraweH
2.3.44	prasiwowsukAByAM wqwIyA ca
2.3.45	nakRawre ca lupi
2.3.46	prAwipaxikArWalifgaparimANavacanamAwre praWamA
2.3.47	samboXane ca
2.3.48	sAZZmanwriwam‌
2.3.49	ekavacanaM saMbuxXiH
2.3.50	RaRTI SeRe
2.3.51	jFoZvixarWasya karaNe
2.3.52	aXIgarWaxayeSAM karmaNi
2.3.53	kqFaH prawiyawne
2.3.54	rujArWAnAM BAvavacanAnAmajvareH
2.3.55	ASiRi nAWaH
2.3.56	jAsiniprahaNanAtakrAWapiRAM hiMsAyAm‌
2.3.57	vyavahqpaNoH samarWayoH
2.3.58	xivaswaxarWasya
2.3.59	viBARopasarge
2.3.60	xviwIyA brAhmaNe
2.3.61	preRyabruvorhaviRo xevawAsampraxAne
2.3.62	cawurWyarWe bahulaM Canxasi
2.3.63	yajeSca karaNe
2.3.64	kqwvoZrWaprayoge kAleZXikaraNe
2.3.65	karwqkarmaNoH kqwi
2.3.66	uBayaprApwO karmaNi
2.3.67	kwasya ca varwamAne
2.3.68	aXikaraNavAcinaSca
2.3.69	na lokAvyayaniRTAKalarWawqnAm‌
2.3.70	akenorBaviRyaxAXamarNyayoH
2.3.71	kqwyAnAM karwari vA
2.3.72	wulyArWErawulopamAByAM wqwIyAZnyawarasyAm‌
2.3.73	cawurWI cASiRyAyuRyamaxraBaxrakuSalasuKArWahiwEH
2.4.1	xvigurekavacanam‌
2.4.2	xvaMxvaSca prANiwUryasenAfgAnAm‌
2.4.3	anuvAxe caraNAnAm‌
2.4.4	aXvaryukrawuranapuMsakam.
2.4.5	aXyayanawoZviprakqRtAKyAnAm‌
2.4.6	jAwiraprANinAm‌
2.4.7	viSiRtalifgo naxI xeSoZgrAmAH
2.4.8	kRuxrajanwavaH
2.4.9	yeRAM ca viroXaH SASvawikaH
2.4.10	SUxrANAmaniravasiwAnAm‌
2.4.11	gavASvapraBqwIni ca
2.4.12	viBARA vqkRamqgawqNaXAnyavyaFjanapaSuSakunyaSvavadavapUrvAparAXarowwarANAm‌
2.4.13	viprawiRixXaM cAnaXikaraNavAci
2.4.14	na xaXipayaAxIni
2.4.15	aXikaraNEwAvawwve ca
2.4.16	viBARA samIpe
2.4.17	sa napuMsakam‌
2.4.18	avyayIBAvaSca
2.4.19	wawpuruRoZnaF‌ karmaXArayaH
2.4.20	saMjFAyAM kanWoSInareRu
2.4.21	upajFopakramaM waxAxyAciKyAsAyAm‌
2.4.22	CAyA bAhulye
2.4.23	saBA rAjAZmanuRyapUrvA
2.4.24	aSAlA ca
2.4.25	viBARA senAsurACAyASAlAniSAnAm‌
2.4.26	paravallifgaM xvanxvawawpuruRayoH
2.4.27	pUrvavaxaSvavadavO
2.4.28	hemanwaSiSirAvahorAwre ca cCanxasi
2.4.29	rAwrAhnAhAH puMsi
2.4.30	apaWaM napuMsakam‌
2.4.31	arXarcAH puMsi ca
2.4.32	ixamoZnvAxeSeZSanuxAwwaswqwIyAZZxO
2.4.33	ewaxaswrawasoswrawasO cAnuxAwwO
2.4.34	xviwIyAtOssvenaH
2.4.35	ArxXaXAwuke
2.4.36	axo jagXirlyapwi kiwi
2.4.37	lufsanorGasL
2.4.38	GaFapoSca
2.4.39	bahulaM Canxasi
2.4.40	lityanyawarasyAm‌
2.4.41	veFo vayiH
2.4.42	hano vaXa lifi
2.4.43	lufi ca
2.4.44	AwmanepaxeRvanyawarasyAm‌
2.4.45	iNo gA lufi
2.4.46	NO gamiraboXane
2.4.47	sani ca
2.4.48	ifaSca
2.4.49	gAf‌ liti
2.4.50	viBARA luflqfoH
2.4.51	NO ca sazScafoH
2.4.52	aswerBUH
2.4.53	bruvo vaciH
2.4.54	cakRifaH KyAF‌
2.4.55	vA liti
2.4.56	ajervyaGaFapoH
2.4.57	vA yO
2.4.58	NyakRawriyArRaFiwo yUni lugaNiFoH
2.4.59	pElAxiByaSca
2.4.60	iFaH prAcAm‌
2.4.61	na wOlvaliByaH
2.4.62	waxrAjasya bahuRu wenEvAswriyAm‌
2.4.63	yaskAxiByo gowre
2.4.64	yaFaFoSca
2.4.65	awriBqgukuwsavasiRTagowamAfgiroByaSca
2.4.66	bahvacaH iFaH prAcyaBaraweRu
2.4.67	na gopavanAxiByaH
2.4.68	wikakiwavAxiByo xvaMxve
2.4.69	upakAxiByoZnyawarasyAmaxvaMxve
2.4.70	AgaswyakONdinyayoragaswikuNdinac‌
2.4.71	supo XAwuprAwipaxikayoH
2.4.72	axipraBqwiByaH SapaH
2.4.73	bahulaM Canxasi
2.4.74	yafoZci ca
2.4.75	juhowyAxiByaH SluH
2.4.76	bahulaM Canxasi
2.4.77	gAwisWAGupABUByaH sicaH parasmEpaxeRu
2.4.78	viBARA GrAXetSAcCAsaH
2.4.79	wanAxiByaswaWAsoH
2.4.80	manwre GasahvaraNaSavqxahAxvqckqgamijaniByo leH
2.4.81	AmaH
2.4.82	avyayAxApsupaH
2.4.83	nAvyayIBAvAxawoZmwvapaFcamyAH
2.4.84	wqwIyAsapwamyorbahulam‌
2.4.85	lutaH praWamasya dArOrasaH
3.1.1	prawyayaH
3.1.2	paraSca
3.1.3	AxyuxAwwaSca
3.1.4	anuxawwO suppiwO
3.1.5	gupwijkixByaH san
3.1.6	mAnbaXaxAnSAnByo xIrGaScAByAsasya
3.1.7	XAwoH karmaNaH samAnakarwqkAxicCAyAM vA
3.1.8	supa AwmanaH kyac
3.1.9	kAmyacca
3.1.10	upamAnAxAcAre
3.1.11	karwuH kyaf salopaSca
3.1.12	BqSAxiByo BuvyacverlopaSca halaH
3.1.13	lohiwAxidAjByaH kyaR.
3.1.14	kaRtAya kramaNe
3.1.15	karmaNaH romanWawapoByAM varwicaroH
3.1.16	bARpoRmAByAM uxvamane
3.1.17	SabxavErakalahABrakaNvameGeByaH karaNe
3.1.18	suKAxiByaH karwqvexanAyAm
3.1.19	namovarivaSciwrafaH kyac
3.1.20	pucCaBANdacIvarANNif
3.1.21	muNdamiSraSlakRNalavaNavrawavaswrahalakalakqwawUsweByo
3.1.22	XAworekAco halAxeH kriyAsamaBihAre yaf
3.1.23	niwyaM kOtilye gawO
3.1.24	lupasaxacarajapajaBaxahaxaSagQByo BAvagarhAyAm
3.1.25	sawyApapASarUpavINAwUlaSlokasenAlomawvacavarmavarNacUrNacurAxiByo Nic
3.1.26	hewumawi ca
3.1.27	kaNdvAxiByo yak
